"state","date","cases","deaths","cases_weekly_change","deaths_weekly_change"
"New Hampshire","2020-12-21","37388","656","0.17295682","0.08609271"
"New Jersey","2020-12-21","437671","18223","0.0745244","0.025203943"
"New Mexico","2020-12-21","130808","2180","0.0783931","0.10212338"
"New York","2020-12-21","860856","36147","0.08994639","0.024342537"
"North Carolina","2020-12-21","484513","6285","0.09687567","0.06543481"
"North Dakota","2020-12-21","90127","1239","0.02332151","0.06534827"
"Northern Mariana Islands","2020-12-21","116","2","0.026548624","0.0"
"Ohio","2020-12-21","629354","8122","0.102965","0.0756191"
"Oklahoma","2020-12-21","263434","2218","0.09870827","0.0704633"
"Oregon","2020-12-21","103880","1351","0.09299052","0.15667808"
"Pennsylvania","2020-12-21","569413","14021","0.12660909","0.10680449"
"Puerto Rico","2020-12-21","102464","1382","0.060703993","0.07800317"
"Rhode Island","2020-12-21","80231","1670","0.0831635","0.07395494"
"South Carolina","2020-12-21","275733","4962","0.082256556","0.04441166"
"South Dakota","2020-12-21","95074","1381","0.0407207","0.09690225"
"Tennessee","2020-12-21","515145","6072","0.13850236","0.10722101"
"Texas","2020-12-21","1608768","26164","0.077246904","0.06435609"
"Utah","2020-12-21","252783","1163","0.071695685","0.09201872"
"Vermont","2020-12-21","6534","111","0.11558819","0.15625"
"Virgin Islands","2020-12-21","1921","23","0.06308794","0.0"
"Virginia","2020-12-21","310890","4654","0.09027207","0.05437243"
"Washington","2020-12-21","230642","3186","0.08618176","0.033073902"
"West Virginia","2020-12-21","73337","1129","0.13887942","0.15439677"
"Wisconsin","2020-12-21","494353","4754","0.048946977","0.09061706"
"Wyoming","2020-12-21","42118","351","0.058906317","0.09345794"
"Alabama","2020-12-22","329811","4452","0.093780756","0.07953441"
"Alaska","2020-12-22","44241","186","0.062336445","0.08139539"
"Arizona","2020-12-22","470351","8133","0.1012125","0.0949111"
"Arkansas","2020-12-22","205048","3338","0.083774686","0.10676396"
"California","2020-12-22","1968541","23254","0.18933141","0.08243728"
"Colorado","2020-12-22","315397","4464","0.06712389","0.08061004"
